Région,Efectif
 Marrakech-Safi                         ,"329,935"
 Rabat-Salé-Kénitra                     ,"465,348"
 Souss-Massa                            ,"297,187"
Béni Mellal-Khénifra                    ,"137,945"
Drâa-Tafilalet                          ,"123,180"
Eddakhla-Oued Eddahab                   ,"13,131"
Fès-Meknès                              ,"286,934"
Grand Casablanca-Settat                 ,"793,202"
Guelmim-Oued Noun                       ,"27,318"
Laayoune-Sakia El Hamra                 ,"32,446"
Oriental                                ,"127,156"
Tanger-Tetouan-Al Hoceima               ,"320,208"
Non renseignée,"29,718"
Total,"2,983,708"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
